id;placed_date;quantity;total_price;status;payment_method;payment_reference;rider_id;user_id;cart_id
1;2023-07-29T03:22:19;32217;74058;CANCELLED;CASH;synthesize Orchestrator North;1;1;1
2;2023-07-28T22:13:03;20742;55341;PAID;CASH;Borders target Cambridgeshire;2;2;2
3;2023-07-28T19:47:10;29939;17935;REFUNDED;CASH;Lek Pike;3;2;3
4;2023-07-29T14:07:15;37759;40818;CANCELLED;CASH;Rial Slovenia Cotton;4;2;4
5;2023-07-29T11:29:23;14754;44552;PENDING;CASH;Finland Small generate;5;2;5
6;2023-07-28T22:47:57;26851;95082;PAID;CASH;SDD Grove;6;2;6
7;2023-07-29T08:42:10;18802;48932;PAID;CREDIT_CARD;transitional;7;2;7
8;2023-07-29T13:49:41;93769;7768;PENDING;CASH;state Handcrafted;8;2;8
9;2023-07-29T03:07:30;87034;46979;COMPLETED;CREDIT_CARD;Plains;9;1;9
10;2023-07-28T21:17:05;78745;68075;REFUNDED;CASH;Pizza;10;2;10
