id;placed_date;quantity;total_price;status;payment_method;payment_reference
1;2023-08-03T15:25:28;7124;11446;COMPLETED;CREDIT_CARD;Georgia payment PCI
2;2023-08-03T18:28:11;42917;89918;COMPLETED;CASH;background out-of-the-box withdrawal
3;2023-08-03T00:19:21;960;47588;COMPLETED;CREDIT_CARD;real-time
4;2023-08-03T08:23:30;93124;14838;COMPLETED;CASH;Cambridgeshire
5;2023-08-03T09:02:16;47251;79493;REFUNDED;CREDIT_CARD;harness Holy United
6;2023-08-03T13:43:20;23738;15762;COMPLETED;CREDIT_CARD;circuit Industrial Checking
7;2023-08-03T17:53:28;76432;83852;PENDING;CREDIT_CARD;Kroon Ghana
8;2023-08-03T14:43:54;48345;30578;COMPLETED;CASH;solution protocol
9;2023-08-03T06:17:09;43284;17515;COMPLETED;CASH;Principal Credit RAM
10;2023-08-03T20:33:28;63742;68651;PENDING;CASH;Beauty mission-critical
